name,id,region,region_code,city,lat,lon
ALBANO DI LUCANIA,S11453,Basilicata,15,A,40.574707,16.021247
ALBANO LAZIALE,S08704,Lazio,5,Albano,41.72632,12.658056
ALBANO S.ALESSANDRO,S01534,Lombardia,1,A,45.682744,9.768027
ALBANOVA,S09004,Campania,18,A,40.996117,14.128596
ALBAREDO,S02538,Veneto,12,A,45.670265,12.015104
ALBATE CAMERLATA,S01310,Lombardia,1,Albate,45.777371,9.073461
ALBATE-TRECALLO,S01450,Lombardia,1,A,45.777391,9.095752
ALBENGA,S04516,Liguria,2,Albenga,44.04722,8.221663
ALBERESE,S08001,Toscana,13,A,42.634158,11.1352
ALBERGO,S06067,N/A,N/A,N/A,N/A,N/A
ALBINIA,S08003,Toscana,13,A,42.502165,11.21134
ALBISOLA,S04529,Liguria,2,A,44.33469,8.512092
ALBIZZATE SOLBIATE ARNO,S01209,Lombardia,1,A,45.724117,8.80621
ALBONESE,S00033,Lombardia,1,A,45.297785,8.714601
ALBUZZANO,S01863,Lombardia,1,A,45.172504,9.261624
ALCAMO DIRAMAZIONE,S12150,Sicilia,14,A,37.978894,12.915916
ALCANTARA,S12320,Sicilia,14,A,37.82145,15.251158
ALESSANDRIA,S00470,Piemonte,3,Alessandria,44.909091,8.606498
ALFEDENA-SCONTRONE,S08908,Abruzzo,19,A,41.738222,14.044662
ALFONSINE,S05808,Emilia Romagna,8,A,44.512364,12.039155
ALICE BELCOLLE,S00809,Piemonte,3,A,44.722636,8.440076
ALIFE,S09020,N/A,N/A,N/A,N/A,N/A
ALI` TERME,S12310,Sicilia,14,A,38.013952,15.435184
ALLERONA-CASTEL VISCARDO,S08202,Umbria,6,Allerona,42.78502,12.035236
ALPIGNANO,S00216,Piemonte,3,A,45.091077,7.523745
ALTAMURA,S11307,Puglia,16,A,40.837666,16.551739
ALTARE,S04810,Liguria,2,A,44.336169,8.332753
ALTAVILLA IRPINA,S09511,Campania,18,A,41.015265,14.782833
ALTAVILLA M.,S12011,Sicilia,14,A,38.048392,13.554421
ALTAVILLA TAVERNELLE,S02444,Veneto,12,A,45.511805,11.454702
ALTOPASCIO,S06407,Toscana,13,A,43.817418,10.672754
ALVIANO,S08206,Umbria,6,A,42.591917,12.259583
ALVIGNNO,S09023,N/A,N/A,N/A,N/A,N/A
AMANTEA,S11744,Calabria,17,A,39.134353,16.068448
AMBIVERE MAPELLO,S01527,Lombardia,1,A,45.722163,9.550444
AMENDOLA,S11051,Puglia,16,A,41.518025,15.732569
AMENDOLARA ORIOLO,S11807,Calabria,17,A,39.933731,16.60308
AMOROSI MELIZZANO,S09306,Campania,18,A,41.173509,14.470759
ANAGNI-FIUGGI,S08658,Lazio,5,A,41.71037,13.09597
ANCONA,S07113,Marche,11,Ancona,43.607734,13.497665
ANCONA MARITTIMA,S07116,Marche,11,A,43.619445,13.50911
ANCONA STADIO,S07114,N/A,N/A,N/A,N/A,N/A
ANCONA TORRETTE,S07015,Marche,11,A,43.609936,13.455777
ANCONETTA,S02141,Veneto,12,A,45.565249,11.567865
ANDORA,S04513,Liguria,2,A,43.952003,8.139319
ANFITEATRO,S09031,N/A,N/A,N/A,N/A,N/A
ANGRI,S09812,Campania,18,A,40.746404,14.575366
ANGUILLARA,S08318,Lazio,5,A,42.068133,12.304978
ANNA,S11870,N/A,N/A,N/A,N/A,N/A
ANNONE VENETO,S02769,Veneto,12,A,45.774904,12.680334
ANTIGNANO,S06727,Toscana,13,A,43.492482,10.328827
ANTRODOCO BORGO VELINO,S07408,Lazio,5,A,42.415393,13.076193
ANTRODOCO CENTRO,S07435,Lazio,5,A,42.409844,13.07096
ANVERSA-VILLALAGO-SCANNO,S08537,Abruzzo,19,A,42.017261,13.835618
ANZANO DEL PARCO,S01453,Lombardia,1,A,45.764965,9.202676
ANZIO,S08709,Lazio,5,A,41.4532,12.633205
ANZIO COLONIA,S08713,Lazio,5,A,41.459893,12.617442
ANZOLA,S05386,N/A,N/A,N/A,N/A,N/A
AOSTA,S00137,Valle d'Aosta,4,Aosta,45.73407,7.322424
AOSTA ISTITUTO,S00143,Valle d'Aosta,4,A,45.732938,7.303076
AOSTA VIALE EUROPA,S00146,Valle d'Aosta,4,A,45.733294,7.297371
APICE S.ARCANGELO BONITO,S09314,Campania,18,Apice S.A.B.,41.140927,14.918733
APPIANO,S08328,Lazio,5,A,41.909342,12.43838
APRICENA,S11024,Puglia,16,A,41.77664,15.387809
APRILIA,S08705,Lazio,5,A,41.592386,12.639126
AQUILONIA,S09623,Campania,18,A,40.940252,15.541249
ARAGONA CALDARE,S12370,Sicilia,14,Aragona Caldare,37.381097,13.636837
ARBIA,S06811,Toscana,13,A,43.294393,11.406225
ARBOSTELLA,S09838,Campania,18,A,40.677263,15.623814
ARCE,S08861,Lazio,5,A,41.583695,13.571848
ARCHI,S07992,N/A,N/A,N/A,N/A,N/A
ARCISATE,S01203,Lombardia,1,A,45.858579,8.86241
ARCOLA,S06006,Liguria,2,Arcola,44.118651,9.914649
ARCORE,S01510,Lombardia,1,A,45.623493,9.322798
ARDARA,S12817,Sardegna,20,A,40.632139,8.818996
ARDENNO MASINO,S01427,Lombardia,1,A,46.16198,9.651374
ARDORE,S11853,Calabria,17,A,38.175698,16.207311
ARECHI,S09839,N/A,N/A,N/A,N/A,N/A
ARENA PO,S01947,Lombardia,1,A,45.082065,9.360394
ARENZANO,S04533,Liguria,2,A,44.403089,8.678322
AREZZO,S06915,Toscana,13,Arezzo,43.461725,11.874189
AREZZO C.C.,S06086,N/A,N/A,N/A,N/A,N/A
AREZZO PESCAIOLA,S06063,N/A,N/A,N/A,N/A,N/A
ARGENTA,S05804,Emilia Romagna,8,A,44.616867,11.841267
ARIANO IRPINO,S09316,Campania,18,A,41.181883,15.117508
ARONA,S01020,Piemonte,3,Arona,45.755392,8.559075
AROSIO,S01092,N/A,N/A,N/A,N/A,N/A
ARPAIA-AIROLA-S. AGATA DEI GOTI,S09017,N/A,N/A,N/A,N/A,N/A
ARPINO,S08859,Lazio,5,A,41.648296,13.59959
ARQUATA SCRIVIA,S04207,Piemonte,3,Arquata,44.692533,8.885342
ARQUA,S05707,Veneto,12,A,45.006465,11.748518
ARSOLI,S08516,Lazio,5,A,42.045852,13.013064
ARTEGNA,S03021,Friuli-Venezia Giulia,10,A,46.23115,13.162328
ARTOGNE - GIANICO,N00219,N/A,N/A,N/A,N/A,N/A
ARVIER,S00134,Valle d'Aosta,4,A,45.704259,7.166681
ASCEA,S11711,Campania,18,A,40.140955,15.172626
ASCIANO,S06813,Toscana,13,Asciano,43.235245,11.579237
ASCIANO MONTE OLIVETO MAGGIORE,S06825,Toscana,13,A,43.231706,11.563621
ASCOLI PICENO,S07550,Marche,11,Ascoli Piceno,42.855474,13.587939
ASCOLI SATRIANO,S11203,Puglia,16,A,41.219859,15.547828
ASOLA,S01847,Lombardia,1,A,45.220454,10.402313
ASSEMINI,S12889,Sardegna,20,A,39.287603,8.997936
ASSISI,S07008,Umbria,6,A,43.058921,12.585304
ASSO,S01101,Lombardia,1,Asso,45.855228,9.268513
ASTI,S00462,Piemonte,3,Asti,44.89479,8.208112
ATELETA,S07998,N/A,N/A,N/A,N/A,N/A
ATENA,S09904,Campania,18,A,40.456676,15.536094
ATTIGLIANO,S08207,Umbria,6,Attigliano,42.518054,12.294761
AUGUSTA,S12345,Sicilia,14,A,37.24334,15.218628
AULETTA,S09902,Campania,18,A,40.534934,15.426706
AULLA,S06168,Toscana,13,Aulla,44.209662,9.970632
AULLA LUNIGIANA,S06013,Toscana,13,A,44.210555,9.970015
AURISINA,S03550,Friuli-Venezia Giulia,10,A,45.753943,13.687706
AVELLINO,S09514,Campania,18,Avellino,40.921612,14.820586
AVERSA,S09006,Campania,18,Aversa,40.973323,14.218578
AVEZZANO,S08526,Abruzzo,19,Avezzano,42.039495,13.426446
AVIANO,S03087,Friuli-Venezia Giulia,10,A,46.064362,12.590686
AVIGLIANA,S00214,Piemonte,3,A,45.085276,7.401096
AVIGLIANO LUCANIA,S11214,Basilicata,15,A,40.714667,15.785619
AVIO,S02050,N/A,9,A,45.733892,10.955842
AVISE,S00133,Valle d'Aosta,4,A,45.706296,7.131285
AVOLA,S12426,Sicilia,14,A,36.907434,15.125733
BA POLICLINICO,S11499,N/A,N/A,N/A,N/A,N/A
BACIANO,S06081,N/A,N/A,N/A,N/A,N/A
BADEN,S03118,N/A,N/A,N/A,N/A,N/A
BADIA POLESINE,S02370,Veneto,12,A,45.094439,11.484722
BADOLATO,S11841,Calabria,17,A,38.572268,16.567646
BAGHERIA,S12008,Sicilia,14,A,38.089905,13.507215
BAGNACAVALLO,S05902,Emilia Romagna,8,A,44.412138,11.969398
BAGNARA,S11770,Calabria,17,Bagnara,38.282695,15.800327
BAGNARIA ARSA,S03123,Friuli-Venezia Giulia,10,A,45.885513,13.282026
BAGNASCO,S00921,Piemonte,3,A,44.303264,8.046132
BAGNI DI LUCCA,S06308,Toscana,13,A,44.003447,10.551631
BAGNI DI TIVOLI,S08504,Lazio,5,A,41.949593,12.722208
BAGNOLI AGNANO TERME,S09102,Campania,18,A,40.819444,14.166694
BAGNOLI IRPINO,S09613,Campania,18,A,40.83917,15.06324
BAGNOLO MELLA,S01901,Lombardia,1,A,45.428532,10.183617
BAIANO DI SPOLETO,S07224,Umbria,6,A,42.726238,12.663615
BALANGERO,S00094,N/A,N/A,N/A,N/A,N/A
BALATONFOELDVAR,S03418,N/A,N/A,N/A,N/A,N/A
BALATONLELLE,S03459,N/A,N/A,N/A,N/A,N/A
BALATONSZENTGYORGY,S03566,N/A,N/A,N/A,N/A,N/A
BALDICHIERI,S00460,Piemonte,3,A,44.899204,8.091198
BALESTRATE,S12122,Sicilia,14,A,38.053364,13.007374
BALSORANO,S08856,Abruzzo,19,Balsorano,41.809427,13.556546
BALVANO R.,S09830,Basilicata,15,A,40.649993,15.495304
BALZOLA,S00178,Piemonte,3,A,45.173985,8.402174
BANDITO,S00732,Piemonte,3,A,44.722075,7.819452
BARAGIANO,S09832,Basilicata,15,A,40.695213,15.569206
BARANELLO,S09458,Molise,7,A,41.5176,14.596314
BARASSO - COMERIO,N00027,N/A,N/A,N/A,N/A,N/A
BARBERINO VAL D`ELSA,S06806,N/A,N/A,N/A,N/A,N/A
BARBIANELLO,S01932,Lombardia,1,A,45.07263,9.204165
BARBIANO,S05905,Emilia Romagna,8,A,44.387263,11.878086
BARBUSI,S12971,Sardegna,20,A,39.203024,8.501702
BARCELLONA,S12041,Sicilia,14,A,38.14918,15.212499
BARDONECCHIA,S00202,Piemonte,3,Bardonecchia,45.076447,6.709959
BARGA GALLICANO,S06303,Toscana,13,A,44.068114,10.451938
BARI CENTRALE,S11119,Puglia,16,Bari,41.11774,16.869601
BARI PALESE MACCHIE,S11118,Puglia,16,A,41.151583,16.766902
BARI PARCO NORD,S11148,Puglia,16,A,41.123916,16.837018
BARI PARCO NORD FASCIO TARANTO,S11149,N/A,N/A,N/A,N/A,N/A
BARI PARCO SUD,S11125,Puglia,16,A,41.111822,16.914736
BARI S. SPIRITO,S11116,Puglia,16,A,41.159653,16.746324
BARI S.ANDREA,S11513,Puglia,16,A,41.105467,16.830255
BARI S.GIORGIO,S11150,Puglia,16,A,41.093779,16.950084
BARI TORRE A MARE,S11126,Puglia,16,A,41.082637,16.995772
BARI ZONA INDUSTRIALE,S11120,N/A,N/A,N/A,N/A,N/A
BARICETTA,S05419,Veneto,12,A,45.060889,11.995348
BARILE,S11208,Basilicata,15,A,40.943044,15.670959
BARLASSINA,S01926,N/A,N/A,N/A,N/A,N/A
BARLETTA,S11108,Puglia,16,Barletta,41.315227,16.278867
BARONISSI,S09520,Campania,18,A,40.743779,14.77224
BARRUCCANA,S01929,N/A,N/A,N/A,N/A,N/A
BASCHI-MONTECCHIO,S08204,Umbria,6,Baschi,42.68685,12.203496
BASILIANO,S02832,Friuli-Venezia Giulia,10,A,46.012737,13.109233
BASSANO DEL GRAPPA,S02520,Veneto,12,Bassano del Gr.,45.766697,11.741525
BASSANO IN TEVERINA,S08208,Umbria,6,Bassano,42.483551,12.333556
BASSANO ROMANO,S08312,Lazio,5,A,42.212444,12.152302
BASTIA,S07007,Umbria,6,A,43.07133,12.547735
BASTIA MONDOVI`,S00908,Piemonte,3,A,44.439398,7.891671
BATTAGLIA TERME,S05702,Veneto,12,A,45.291475,11.77838
BATTIPAGLIA,S09823,Campania,18,Battipaglia,40.605789,14.98324
BAULADU MILIS,S12875,Sardegna,20,A,40.020722,8.687123
BAVENO,S01015,Piemonte,3,A,45.909105,8.502121
BAZZANA,S00807,Piemonte,3,A,44.777094,8.401557
BEAULARD,S00203,Piemonte,3,A,45.046495,6.759713
BEFFI,S07422,Abruzzo,19,A,42.197341,13.660759
BEINETTE,S00901,Piemonte,3,A,44.36782,7.644884
BELGIOIOSO,S01864,Lombardia,1,A,45.16456,9.316875
BELGIRATE,S01017,Piemonte,3,A,45.843337,8.570821
BELLA MURO,S09831,Basilicata,15,A,40.700914,15.542936
BELLANO TARTAVELLE TERME,S01409,Lombardia,1,A,46.039448,9.302776
BELLANTE RIPATTONE,S07902,Abruzzo,19,A,42.705775,13.837978
BELLARIA,S05817,Emilia Romagna,8,A,44.150249,12.461168
BELLAVISTA,S11512,Puglia,16,A,40.517077,17.176892
BELLINZAGO,S00985,Piemonte,3,A,45.566681,8.627652
BELLINZONA,S00300,N/A,N/A,N/A,N/A,N/A
BELLISIO SOLFARE,S07061,Marche,11,A,43.520379,12.823977
BELLUNO,S02559,Veneto,12,Belluno,46.141594,12.209703
BELMONTE CALABRO,S11743,Calabria,17,A,39.164427,16.064515
BELVEDERE MARITTIMO,S11732,Calabria,17,A,39.616549,15.853039
BENEVENTO,S09311,Campania,18,Benevento,41.141901,14.769998
BENEVENTO ACQUAFREDDA,S09472,N/A,N/A,N/A,N/A,N/A
BENEVENTO APPIA,S09011,N/A,N/A,N/A,N/A,N/A
BENEVENTO ARCO TRAIANO,S09530,Campania,18,A,41.136834,14.777662
BENEVENTO PORTA RUFINA,S09509,Campania,18,A,41.123564,14.784315
BENEVENTO RIONE LIBERTA',S09012,N/A,N/A,N/A,N/A,N/A
BERCETO,S06158,Emilia Romagna,8,A,44.555912,9.931759
BERCHIDDA,S12859,Sardegna,20,A,40.772052,9.181312
BERGAMASCO,S00838,Piemonte,3,A,44.819891,8.461447
BERGAMO,S01529,Lombardia,1,Bergamo,45.690271,9.675082
BERNALDA,S11460,Basilicata,15,A,40.397616,16.682281
BESANA,S01488,Lombardia,1,A,45.702824,9.28288
BESNATE,S01145,Lombardia,1,A,45.695409,8.761072
BESOZZO,S01141,Lombardia,1,A,45.842188,8.662997
BEURA CARDEZZA,S01007,Piemonte,3,A,46.068341,8.289627
BEVERA,S04482,Liguria,2,A,43.825303,7.579157
BEVILACQUA,S02391,Veneto,12,A,45.230145,11.398643
BIAGIONI LAGACCI,S05119,Emilia Romagna,8,A,44.086359,10.948257
BIANCO,S11855,Calabria,17,A,38.089072,16.153348
BIANZE`,S00238,Piemonte,3,A,45.309488,8.115523
BIANZONE,S01438,Lombardia,1,A,46.179383,10.112507
BIASSONO-LESMO PARCO,S01483,Lombardia,1,A,45.632209,9.298408
BIBBIENA,S06076,N/A,N/A,N/A,N/A,N/A
BIBBIENA CORSALONE,S06077,N/A,N/A,N/A,N/A,N/A
BIBIANA,S00522,Piemonte,3,A,44.809941,7.285727
BICOCCA,S12338,Sicilia,14,Bicocca,37.460617,15.044594
BIELLA CHIAVAZZA,S00970,Piemonte,3,A,45.568084,8.066787
BIELLA S.PAOLO,S00070,Piemonte,3,Biella,45.557334,8.067541
BIFORCO,S06611,Toscana,13,A,44.068431,11.602243
BINARIO S.MARCO VECCHIO,S06950,Toscana,13,A,43.790336,11.267403
BISCEGLIE,S11113,Puglia,16,A,41.235445,16.499484
BISTAGNO,S00870,Piemonte,3,A,44.659256,8.372057
BISUSCHIO VIGGIU,S01202,Lombardia,1,A,45.870658,8.887544
BITETTO PALO DEL COLLE,S11501,Puglia,16,A,41.041481,16.74053
BIVIO D`AURISINA,S03313,Friuli-Venezia Giulia,10,Bivio d`Aurisina,45.754253,13.655777
BOARIO TERME,N00221,N/A,N/A,N/A,N/A,N/A
BOCCIA AL MAURO,S09763,Campania,18,A,40.732794,14.471878
BOGLIASCO,S04709,Liguria,2,A,44.379207,9.066042
BOIANO,S09453,Molise,7,A,41.487883,14.474551
BOLGHERI,S06028,Toscana,13,A,43.244664,10.550548
BOLLATE CENTRO,S01071,N/A,N/A,N/A,N/A,N/A
BOLLATE NORD,S01072,N/A,N/A,N/A,N/A,N/A
BOLOGNA BORGO PANIGALE,S05100,Emilia Romagna,8,A,44.515024,11.284728
BOLOGNA C.LE,S05043,Emilia Romagna,8,Bologna,44.50626,11.342267
BOLOGNA C.LE/AV,S05046,Emilia Romagna,8,A,44.50626,11.342267
BOLOGNA CORTICELLA,S05725,Emilia Romagna,8,A,44.551985,11.35401
BOLOGNA FIERE,S05020,Emilia Romagna,8,A,44.512742,11.368809
BOLOGNA MAZZINI,S05140,Emilia Romagna,8,A,44.482284,11.376271
BOLOGNA RAVONE,S05042,Emilia Romagna,8,A,44.510244,11.320029
BOLOGNA S.RUFFILLO,S05130,Emilia Romagna,8,A,44.462657,11.372967
BOLOGNA SAN VITALE,S05081,N/A,N/A,N/A,N/A,N/A
BOLZANO ,S02026,Trentino Alto Adige,22,Bolzano ,46.496346,11.358556
BOLZANO NOVARESE,S00014,Piemonte,3,A,45.759357,8.440754
BOLZANO SUD ,S02226,N/A,9,A,46.472617,11.33334
BOMBA TORRICELLA,S07993,N/A,N/A,N/A,N/A,N/A
BONASSOLA,S04730,Liguria,2,A,44.184867,9.582673
BONDENO,S05165,N/A,N/A,N/A,N/A,N/A
BONEFRO S.CROCE,S09464,Molise,7,A,41.710522,14.860799
BONFERRARO,S02383,Veneto,12,A,45.185651,11.009247
BONORVA,S12867,Sardegna,20,A,40.417763,8.760707
BORDIGHERA,S04503,Liguria,2,A,43.778313,7.663504
BORGARO,S00086,N/A,N/A,N/A,N/A,N/A
BORGHETTO,S02051,N/A,9,A,45.696721,10.927083
BORGHETTO PARMENSE,S06100,Emilia Romagna,8,A,44.837198,10.1177
BORGHETTO SANTO SPIRITO,S04518,Liguria,2,A,44.109006,8.242346
BORGIO VEREZZI,S04521,Liguria,2,A,44.157722,8.30908
BORGO,S09526,Campania,18,A,40.845976,14.784092
BORGO A BUGGIANO,S06410,Toscana,13,A,43.880724,10.730079
BORGO A MOZZANO,S06309,Toscana,13,A,43.977207,10.541285
BORGO FORNARI PER VOLTAGGIO,S04214,Liguria,2,A,44.588379,8.938295
BORGO LAVEZZARO,S00032,Piemonte,3,A,45.318783,8.703242
BORGO REVEL,S00171,Piemonte,3,A,45.189827,8.02021
BORGO S. GIOVANNI,N00202,N/A,N/A,N/A,N/A,N/A
BORGO S. LORENZO,S06604,Toscana,13,Borgo S. L.,43.959822,11.380422
BORGO S.L.RIMORELLI,S06704,Toscana,13,A,43.953279,11.400076
BORGO S.MARTINO,S00315,Piemonte,3,A,45.087083,8.520661
BORGO SAN DALMAZZO,S00613,Piemonte,3,A,44.326249,7.486111
BORGO TICINO,S00981,Piemonte,3,A,45.691943,8.602483
BORGO VAL DI TARO,S06161,Emilia Romagna,8,Borgo Val di Taro,44.486522,9.781489
BORGO VALSUGANA CENTRO,S02313,N/A,21,Borgo Valsugana,46.051182,11.453967
BORGO VALSUGANA EST,S02314,N/A,9,A,46.05224,11.462119
BORGO VERCELLI,S00246,Piemonte,3,A,45.359252,8.461474
BORGOFORTE,S02338,Lombardia,1,A,45.050328,10.752388
BORGOFRANCO,S00152,Piemonte,3,A,45.514775,7.854612
BORGOLOMBARDO,S01830,Lombardia,1,A,45.403856,9.27111
BORGOMANERO,S00016,Piemonte,3,Borgomanero,45.701054,8.468093
BORGONATO - ADRO,N00208,N/A,N/A,N/A,N/A,N/A
BORGONE,S00210,Piemonte,3,A,45.123191,7.236037
BORGONUOVO,S05152,N/A,N/A,N/A,N/A,N/A
BORGORATTO,S00860,Piemonte,3,A,44.835999,8.538182
BORGOSESIA,S00104,Piemonte,3,A,45.716798,8.28239
BORNATO - CALINO,N00207,N/A,N/A,N/A,N/A,N/A
BORORE,S12872,Sardegna,20,A,40.218992,8.809535
BOSCHI S.ANNA,S02390,Veneto,12,A,45.217328,11.362302
BOSCO REDOLE,S09452,Molise,7,Bosco Redole,41.459299,14.587884
BOSCONERO,S00882,N/A,N/A,N/A,N/A,N/A
BOSCOREALE,S09754,Campania,18,A,40.770786,14.48017
BOTRICELLO,S11829,Calabria,17,A,38.933943,16.857433
BOTTENICCHIO Z.I.,S03057,N/A,N/A,N/A,N/A,N/A
BOVA MARINA,S11860,Calabria,17,A,37.930269,15.923897
BOVALINO,S11854,Calabria,17,A,38.149087,16.180584
BOVINO DELICETO,S09321,Puglia,16,A,41.27835,15.369255
BOVISO MASCIAGO - MOMBELLO,S01085,N/A,N/A,N/A,N/A,N/A
BOVOLONE,S02363,Veneto,12,A,45.254446,11.123862
BOZZOLO,S01920,Lombardia,1,A,45.107246,10.472655
BRA,S00821,Piemonte,3,Bra,44.693556,7.848643
BRACCIANO,S08315,Lazio,5,A,42.103667,12.173023
BRAGNO,S04803,Liguria,2,A,44.371679,8.304473
BRANCALEONE,S11857,Calabria,17,A,37.965475,16.103301
BRANDIZZO,S00231,Piemonte,3,A,45.178915,7.841218
BREIL SUR ROYA,S00622,Piemonte,3,Breil,43.890267,7.530915
BRENNA-ALZATE,S01452,Lombardia,1,A,45.754044,9.183312
BRENNERO,S02001,Trentino Alto Adige,22,Brennero,47.004117,11.505711
BRENO,N00226,N/A,N/A,N/A,N/A,N/A
BRESCIA,S01717,Lombardia,1,Brescia,45.532315,10.212828
BRESSANA ARGINE,S01930,Lombardia,1,A,45.072739,9.137038
BRESSANA BOTTARONE,S01805,Lombardia,1,Bressana B.,45.086298,9.110602
BRESSANONE,S02014,N/A,9,A,46.710088,11.649677
BRIATICO,S11757,Calabria,17,A,38.725447,16.025765
BRICHERASIO,S00521,Piemonte,3,A,44.824336,7.307513
BRINDISI,S11136,Puglia,16,Brindisi,40.634339,17.938978
BRINDISI DI MONTAGNA,S11451,Basilicata,15,A,40.611991,15.955795
BRINDISI MARITTIMA,S11137,Puglia,16,Brindisi Marittima,40.633543,17.94863
BRIONA,S00113,Piemonte,3,A,45.538568,8.479541
BRISIGHELLA,S06614,Emilia Romagna,8,A,44.220565,11.769757
BROLO FICARRA,S12031,Sicilia,14,A,38.159204,14.830176
BRONI,S01944,Lombardia,1,Broni,45.066263,9.258751
BRONZOLO ,S02030,N/A,9,A,46.40505,11.315833
BROZOLO,S00424,Piemonte,3,A,45.121299,8.05893
BRUNICO ,S02107,N/A,9,A,46.794922,11.929989
BRUNICO NORD,S02018,N/A,N/A,N/A,N/A,N/A
BRUNO,S00837,Piemonte,3,A,44.797947,8.439639
BRUZOLO,S00209,Piemonte,3,A,45.131032,7.201497
BUCCINO S.,S09828,Campania,18,A,40.600806,15.374199
BUCINE,S06911,Toscana,13,A,43.480478,11.617609
BUDOIA POLCENIGO,S03088,Friuli-Venezia Giulia,10,A,46.031464,12.537637
BUGNARA,S08538,Abruzzo,19,A,42.031166,13.862082
BUONCONVENTO,S06874,Toscana,13,A,43.135503,11.483773
BUONFORNELLO,S12016,Sicilia,14,A,37.972052,13.816408
BURONZO,S00054,Piemonte,3,A,45.47179,8.2667
BUSALLA,S04215,Liguria,2,A,44.57558,8.943611
BUSCA,S00704,Piemonte,3,A,44.520585,7.481589
BUSCHE LENTIAI MEL,S02563,Veneto,12,A,46.040092,11.979251
BUSSETO,S01963,Emilia Romagna,8,A,44.974692,10.038909
BUSSI,S07704,Abruzzo,19,A,42.194154,13.849075
BUSSOLENO,S00208,Piemonte,3,Bussoleno,45.139631,7.144819
BUSTO ARSIZIO,S01031,Lombardia,1,Busto Arsizio,45.616164,8.865031
BUSTO ARSIZIO N.,S01137,N/A,N/A,N/A,N/A,N/A
BUSTO ARSIZIO RFI,N00107,N/A,N/A,N/A,N/A,N/A
BUTTAFAVA,S01482,Lombardia,1,A,45.62141,9.301185
BUTTAPIETRA,S05301,Veneto,12,A,45.338787,10.988059
BUTTRIO,S03029,Friuli-Venezia Giulia,10,A,46.012664,13.329039
Biv. Venezia,S05048,N/A,N/A,N/A,N/A,N/A
CABIATE,S01088,N/A,N/A,N/A,N/A,N/A
CADEO,S05006,Emilia Romagna,8,A,44.967283,9.853181
CADORAGO,N00038,N/A,N/A,N/A,N/A,N/A
CAGLIARI,S12891,Sardegna,20,Cagliari,39.216078,9.107984
CAGLIARI ELMAS,S12890,Sardegna,20,A,39.264193,9.045497
CAIAZZO,S09025,N/A,N/A,N/A,N/A,N/A
CAIRO MONTENOTTE,S00879,Liguria,2,A,44.394747,8.278786
CALA SABINA,S12851,Sardegna,20,A,41.011012,9.5881
CALALZO PIEVE CADORE CORTINA,S02550,Veneto,12,Calalzo PC Cort.,46.443829,12.388668
CALAMANDRANA,S00833,Piemonte,3,A,44.738986,8.331572
